Mag_X,Mag_Y,Mag_Z
710.0,6357.0,-4852.0
685.0,6267.0,-4910.0
670.0,6337.0,-4915.0
737.0,6272.0,-4935.0
720.0,6262.0,-4965.0
690.0,6250.0,-5042.0
670.0,6200.0,-4950.0
642.0,6205.0,-4955.0
680.0,6180.0,-5025.0
710.0,6105.0,-4945.0
690.0,6090.0,-5052.0
695.0,6065.0,-5072.0
705.0,5992.0,-5072.0
705.0,5992.0,-5072.0
685.0,5927.0,-5137.0
715.0,5887.0,-5117.0
752.0,5942.0,-5215.0
767.0,5862.0,-5192.0
727.0,5842.0,-5250.0
720.0,5760.0,-5285.0
680.0,5735.0,-5245.0
695.0,5665.0,-5320.0
685.0,5660.0,-5325.0
675.0,5547.0,-5285.0
700.0,5522.0,-5362.0
632.0,5487.0,-5402.0
647.0,5417.0,-5355.0
647.0,5330.0,-5467.0
680.0,5295.0,-5427.0
670.0,5195.0,-5457.0
675.0,5087.0,-5437.0
700.0,5072.0,-5447.0
695.0,4997.0,-5512.0
622.0,4905.0,-5497.0
617.0,4865.0,-5630.0
605.0,4770.0,-5610.0
595.0,4682.0,-5595.0
627.0,4617.0,-5595.0
590.0,4552.0,-5630.0
585.0,4520.0,-5697.0
580.0,4475.0,-5600.0
600.0,4425.0,-5615.0
622.0,4375.0,-5737.0
605.0,4385.0,-5702.0
632.0,4370.0,-5742.0
617.0,4247.0,-5717.0
560.0,4197.0,-5767.0
627.0,4182.0,-5752.0
657.0,4157.0,-5762.0
657.0,4122.0,-5767.0
675.0,4090.0,-5767.0
695.0,3985.0,-5762.0
662.0,3960.0,-5792.0
695.0,3910.0,-5752.0
675.0,3842.0,-5732.0
675.0,3842.0,-5732.0
675.0,3792.0,-5812.0
647.0,3772.0,-5772.0
657.0,3727.0,-5792.0
610.0,3610.0,-5742.0
600.0,3605.0,-5787.0
680.0,3580.0,-5767.0
627.0,3560.0,-5752.0
622.0,3535.0,-5827.0
605.0,3490.0,-5832.0
605.0,3490.0,-5832.0
617.0,3447.0,-5827.0
570.0,3347.0,-5732.0
605.0,3372.0,-5792.0
632.0,3327.0,-5832.0
657.0,3347.0,-5832.0
637.0,3297.0,-5855.0
637.0,3297.0,-5855.0
627.0,3230.0,-5782.0
652.0,3215.0,-5837.0
652.0,3215.0,-5837.0
690.0,3135.0,-5797.0
727.0,3160.0,-5837.0
727.0,3050.0,-5757.0
670.0,3050.0,-5782.0
662.0,2982.0,-5772.0
647.0,2942.0,-5712.0
690.0,2882.0,-5802.0
695.0,2872.0,-5752.0
695.0,2867.0,-5762.0
700.0,2785.0,-5875.0
680.0,2765.0,-5747.0
647.0,2695.0,-5722.0
685.0,2670.0,-5832.0
685.0,2670.0,-5832.0
710.0,2577.0,-5717.0
790.0,2417.0,-5782.0
772.0,2397.0,-5697.0
767.0,2290.0,-5752.0
815.0,2205.0,-5702.0
825.0,2220.0,-5697.0
830.0,2052.0,-5712.0
867.0,2017.0,-5670.0
837.0,1957.0,-5655.0
887.0,1895.0,-5712.0
882.0,1850.0,-5630.0
967.0,1795.0,-5645.0
972.0,1820.0,-5650.0
952.0,1652.0,-5712.0
1055.0,1602.0,-5650.0
1087.0,1632.0,-5610.0
1145.0,1617.0,-5635.0
1112.0,1532.0,-5625.0
1125.0,1557.0,-5575.0
1125.0,1557.0,-5575.0
1125.0,1485.0,-5600.0
1140.0,1480.0,-5540.0
1187.0,1445.0,-5570.0
1177.0,1430.0,-5560.0
1140.0,1400.0,-5512.0
1120.0,1390.0,-5525.0
1212.0,1335.0,-5550.0
1202.0,1310.0,-5530.0
1172.0,1227.0,-5497.0
1207.0,1212.0,-5535.0
1182.0,1162.0,-5457.0
1212.0,1147.0,-5452.0
1245.0,1092.0,-5462.0
1207.0,1075.0,-5427.0
1212.0,980.0,-5402.0
1235.0,1010.0,-5355.0
1182.0,930.0,-5350.0
1192.0,857.0,-5377.0
1125.0,910.0,-5290.0
1207.0,812.0,-5362.0
1192.0,772.0,-5240.0
1192.0,772.0,-5240.0
1177.0,657.0,-5220.0
