timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1723940861.023807,139.26400756835938,-101.0,98.0,-2760.0,4.0,-10.0
1723940861.0287955,139.2689971923828,-96.0,85.0,-2746.0,0.0,-15.0
1723940861.0387905,139.2790069580078,-96.0,99.0,-2761.0,7.0,1.0
1723940861.0447907,139.28399658203125,-102.0,96.0,-2744.0,-1.0,-6.0
1723940861.0537925,139.29400634765625,-96.0,95.0,-2752.0,5.0,-2.0
1723940861.0587912,139.2989959716797,-100.0,104.0,-2748.0,4.0,0.0
1723940861.0687907,139.3090057373047,-89.0,91.0,-2754.0,4.0,-7.0
1723940861.073792,139.31399536132812,-95.0,88.0,-2749.0,-4.0,-13.0
1723940861.0837924,139.32400512695312,-99.0,102.0,-2761.0,7.0,-2.0
1723940861.0896325,139.32899475097656,-106.0,100.0,-2754.0,4.0,-8.0
1723940861.1000006,139.33900451660156,-98.0,97.0,-2761.0,-1.0,-6.0
1723940861.103999,139.343994140625,-102.0,96.0,-2745.0,6.0,-8.0
1723940861.1139991,139.35400390625,-98.0,99.0,-2758.0,7.0,2.0
1723940861.1196275,139.35899353027344,-82.0,91.0,-2758.0,7.0,-3.0
1723940861.1285467,139.36900329589844,-97.0,94.0,-2767.0,5.0,-5.0
1723940861.1340866,139.37399291992188,-99.0,92.0,-2736.0,7.0,-2.0
1723940861.1440864,139.38400268554688,-100.0,99.0,-2758.0,17.0,2.0
1723940861.1490874,139.38900756835938,-97.0,101.0,-2747.0,-1.0,-16.0
1723940861.159191,139.3990020751953,-96.0,102.0,-2766.0,3.0,-3.0
1723940861.1652646,139.4040069580078,-96.0,92.0,-2740.0,6.0,2.0
1723940861.1742682,139.41400146484375,-96.0,101.0,-2763.0,8.0,-8.0
1723940861.179268,139.41900634765625,-100.0,98.0,-2749.0,-1.0,-1.0
1723940861.1892679,139.4290008544922,-100.0,91.0,-2755.0,12.0,-5.0
1723940861.1942694,139.4340057373047,-100.0,96.0,-2744.0,8.0,-11.0
1723940861.2049105,139.44400024414062,-87.0,95.0,-2744.0,3.0,-2.0
1723940861.2091727,139.44900512695312,-102.0,105.0,-2738.0,1.0,-8.0
1723940861.2191055,139.45899963378906,-94.0,97.0,-2749.0,-2.0,-4.0
1723940861.224156,139.46400451660156,-89.0,104.0,-2744.0,4.0,4.0
1723940861.2342858,139.4739990234375,-96.0,90.0,-2760.0,10.0,-7.0
1723940861.2393432,139.47900390625,-98.0,95.0,-2749.0,1.0,-11.0
1723940861.2513373,139.48899841308594,-86.0,95.0,-2750.0,3.0,6.0
1723940861.2558043,139.49400329589844,-92.0,106.0,-2746.0,-2.0,-5.0
1723940861.2641847,139.50399780273438,-103.0,99.0,-2750.0,8.0,0.0
1723940861.2693813,139.50900268554688,-97.0,97.0,-2756.0,4.0,-8.0
1723940861.2789154,139.5189971923828,-91.0,98.0,-2757.0,-1.0,2.0
1723940861.2847528,139.5240020751953,-93.0,98.0,-2746.0,-1.0,0.0
1723940861.2947881,139.53399658203125,-96.0,99.0,-2767.0,-1.0,-1.0
1723940861.2991664,139.53900146484375,-99.0,93.0,-2748.0,9.0,-5.0
