Mag_X,Mag_Y,Mag_Z
2097.0,6387.0,1262.0
2192.0,6457.0,1040.0
2170.0,6357.0,1227.0
2182.0,6367.0,1192.0
2250.0,6412.0,1167.0
2227.0,6407.0,1227.0
2235.0,6347.0,1242.0
2217.0,6292.0,1292.0
2217.0,6292.0,1292.0
2222.0,6317.0,1395.0
2202.0,6282.0,1390.0
2097.0,6250.0,1502.0
2097.0,6250.0,1502.0
2020.0,6190.0,1630.0
2015.0,6130.0,1670.0
2125.0,6170.0,1710.0
1900.0,6085.0,1765.0
1867.0,6110.0,1877.0
1867.0,6110.0,1877.0
1647.0,5967.0,2105.0
1600.0,5957.0,2157.0
1512.0,5897.0,2247.0
1512.0,5897.0,2247.0
1202.0,5765.0,2482.0
1107.0,5700.0,2572.0
930.0,5562.0,2690.0
857.0,5567.0,2807.0
542.0,5365.0,2847.0
402.0,5360.0,2917.0
155.0,5275.0,2970.0
-50.0,5190.0,2945.0
-297.0,5117.0,3015.0
-485.0,5102.0,2912.0
-795.0,5037.0,2892.0
-872.0,5072.0,2897.0
-1120.0,4895.0,2817.0
-1260.0,4945.0,2787.0
-1427.0,4895.0,2710.0
-1585.0,4865.0,2655.0
-1575.0,4845.0,2655.0
-1667.0,4845.0,2640.0
-1705.0,4815.0,2690.0
-1705.0,4815.0,2690.0
-1627.0,4727.0,2772.0
-1627.0,4727.0,2772.0
-1475.0,4712.0,2970.0
-1385.0,4682.0,2985.0
-1240.0,4637.0,3112.0
-1120.0,4642.0,3207.0
-882.0,4552.0,3355.0
-790.0,4542.0,3422.0
-580.0,4500.0,3472.0
-480.0,4445.0,3542.0
-192.0,4440.0,3690.0
-87.0,4395.0,3655.0
125.0,4395.0,3700.0
250.0,4440.0,3725.0
417.0,4557.0,3675.0
502.0,4692.0,3655.0
605.0,4742.0,3590.0
705.0,4582.0,3615.0
767.0,4682.0,3625.0
795.0,4760.0,3552.0
785.0,4890.0,3400.0
805.0,4972.0,3390.0
742.0,4972.0,3285.0
690.0,5137.0,3202.0
617.0,5172.0,3035.0
512.0,5195.0,2970.0
507.0,5390.0,2877.0
547.0,5815.0,2730.0
312.0,5517.0,2670.0
240.0,5557.0,2635.0
225.0,5705.0,2472.0
155.0,5765.0,2380.0
30.0,5832.0,2207.0
30.0,5832.0,2207.0
-97.0,5972.0,2030.0
-130.0,6045.0,1842.0
-207.0,6090.0,1740.0
-302.0,6200.0,1552.0
-450.0,6250.0,1282.0
-527.0,6357.0,1152.0
