Timestamp (ns),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1724512018585361040,-199.0,-97.0,2694.0,-3.0,-4.0,2.0
1724512018590365923,-191.0,-89.0,2694.0,9.0,-16.0,7.0
1724512018595370806,-196.0,-85.0,2700.0,2.0,-9.0,-7.0
1724512018600375689,-197.0,-85.0,2696.0,1.0,-15.0,-3.0
1724512018605380571,-191.0,-96.0,2708.0,2.0,-8.0,-3.0
1724512018610354937,-190.0,-92.0,2707.0,7.0,-12.0,-2.0
1724512018615359819,-190.0,-91.0,2709.0,-3.0,-12.0,-3.0
1724512018620364702,-194.0,-87.0,2710.0,0.0,-6.0,-4.0
1724512018625369585,-198.0,-74.0,2703.0,2.0,-13.0,1.0
1724512018630374468,-195.0,-81.0,2708.0,2.0,-13.0,1.0
1724512018635379351,-197.0,-91.0,2702.0,-4.0,-7.0,5.0
1724512018640353716,-192.0,-87.0,2700.0,5.0,-16.0,-3.0
1724512018645358599,-187.0,-96.0,2708.0,12.0,-9.0,-3.0
1724512018650363482,-183.0,-91.0,2709.0,9.0,-16.0,7.0
1724512018655368364,-187.0,-92.0,2708.0,4.0,-3.0,2.0
1724512018660373247,-182.0,-90.0,2701.0,3.0,-6.0,-3.0
1724512018665378130,-182.0,-90.0,2699.0,-3.0,-6.0,2.0
1724512018670352495,-192.0,-87.0,2707.0,-2.0,1.0,3.0
1724512018675357378,-195.0,-84.0,2710.0,11.0,2.0,-5.0
1724512018680362261,-193.0,-86.0,2704.0,3.0,-17.0,3.0
1724512018685367144,-185.0,-92.0,2698.0,6.0,-9.0,-5.0
1724512018690372026,-193.0,-97.0,2702.0,6.0,-8.0,-6.0
1724512018695376909,-194.0,-97.0,2705.0,3.0,-10.0,1.0
1724512018700381792,-193.0,-86.0,2710.0,-1.0,-7.0,-1.0
1724512018705356157,-206.0,-96.0,2713.0,3.0,-5.0,-2.0
1724512018710361040,-203.0,-92.0,2707.0,4.0,-10.0,-1.0
1724512018715365923,-189.0,-81.0,2705.0,6.0,-4.0,-1.0
1724512018720370806,-189.0,-93.0,2710.0,4.0,-11.0,-3.0
1724512018725375689,-193.0,-85.0,2713.0,3.0,-9.0,-5.0
1724512018730380571,-199.0,-87.0,2704.0,4.0,-5.0,1.0
1724512018735354937,-184.0,-87.0,2708.0,5.0,-9.0,-4.0
1724512018740359819,-186.0,-88.0,2701.0,-1.0,-14.0,1.0
1724512018745364702,-197.0,-87.0,2698.0,2.0,-6.0,-6.0
1724512018750369585,-184.0,-89.0,2707.0,2.0,-7.0,11.0
1724512018755374468,-186.0,-91.0,2698.0,4.0,-15.0,-5.0
1724512018760379351,-194.0,-85.0,2704.0,2.0,-17.0,-10.0
1724512018765353716,-188.0,-98.0,2709.0,6.0,-11.0,-1.0
1724512018770358599,-185.0,-106.0,2704.0,-1.0,-14.0,4.0
1724512018775363482,-188.0,-96.0,2708.0,8.0,-3.0,-3.0
1724512018780368364,-196.0,-90.0,2705.0,3.0,-5.0,-6.0
1724512018785373247,-181.0,-93.0,2702.0,-1.0,-8.0,-3.0
1724512018790378130,-189.0,-88.0,2705.0,3.0,-7.0,6.0
1724512018795352495,-196.0,-87.0,2712.0,3.0,-6.0,-3.0
1724512018800357378,-199.0,-85.0,2709.0,9.0,-6.0,-2.0
1724512018805362261,-197.0,-85.0,2703.0,8.0,-8.0,-6.0
1724512018810367144,-186.0,-95.0,2711.0,7.0,-15.0,4.0
1724512018815372026,-188.0,-83.0,2698.0,3.0,-7.0,-6.0
1724512018820376909,-183.0,-88.0,2700.0,6.0,-9.0,-9.0
1724512018825381792,-190.0,-88.0,2706.0,9.0,-7.0,3.0
1724512018830356157,-201.0,-80.0,2706.0,0.0,-10.0,-2.0
1724512018835361040,-195.0,-86.0,2710.0,5.0,-12.0,-1.0
1724512018840365923,-189.0,-87.0,2716.0,7.0,-1.0,0.0
1724512018845370806,-187.0,-92.0,2705.0,0.0,-5.0,4.0
1724512018850375689,-188.0,-92.0,2691.0,4.0,-10.0,-1.0
1724512018855380571,-192.0,-96.0,2706.0,2.0,-3.0,-1.0
1724512018860354937,-192.0,-98.0,2708.0,3.0,-17.0,-4.0
1724512018865359819,-203.0,-96.0,2705.0,4.0,-1.0,-6.0
1724512018870364702,-206.0,-83.0,2704.0,4.0,-1.0,0.0
